hjd,lc,fwhm_x,fwhm_y,airmass,fwhm
2456569.61614,2876.30516687,1014.6541748,925.789123535,1.10046923161,3.19000005722
2456569.61686,2880.93948722,1015.47406006,925.91583252,1.10012614727,3.38000011444
2456569.61758,2875.55516258,1016.26287842,926.440612793,1.09980416298,3.45000004768
2456569.61838,2863.59165768,1011.60131836,924.96484375,1.09947240353,3.3599998951
2456569.6191,2877.44217582,1012.18890381,925.13092041,1.09919929504,3.41000008583
2456569.61982,2860.25579902,1012.87408447,925.10748291,1.09894549847,3.27999997139
2456569.62054,2862.5327852,1013.73248291,925.144287109,1.09871327877,3.41000008583
2456569.62126,2884.65840376,1014.00292969,925.71282959,1.09850203991,3.44000005722
2456569.62198,2881.79698281,1014.33209229,925.488830566,1.09831309319,3.33999991417
2456569.6227,2870.19328884,1014.66760254,925.839599609,1.09814536572,3.28999996185
2456569.62342,2853.73475907,1014.93011475,925.913818359,1.09799897671,3.07999992371
2456569.62414,2874.16432003,1015.49591064,926.164611816,1.09787404537,3.26999998093
2456569.62486,2879.32389663,1016.56811523,926.21282959,1.09777092934,3.26999998093
2456569.62562,2874.46069438,1012.07067871,925.098327637,1.09768772125,3.33999991417
2456569.62634,2872.70090515,1012.47851562,925.426086426,1.09762918949,3.3599998951
2456569.62706,2871.11962526,1013.50732422,925.485107422,1.09759199619,3.28999996185
2456569.631,2892.1006779,973.091674805,945.701904297,1.0962395668,2.97000002861
2456569.63172,2882.37318055,971.984680176,945.647460938,1.09631824493,2.98000001907
2456569.63244,2877.23180849,971.585083008,945.862548828,1.09641742706,2.8900001049
2456569.63316,2874.90067017,971.364624023,945.820495605,1.09653782845,3.0
2456569.63642,2884.9806588,972.883605957,945.373474121,1.09735000134,2.83999991417
2456569.63714,2892.13704449,972.433410645,945.286682129,1.09758973122,3.03999996185
2456569.63786,2872.71273515,971.608337402,945.387390137,1.09785079956,2.94000005722
2456569.63858,2873.6203047,970.75994873,945.376586914,1.09813344479,2.8599998951
2456569.6393,2880.15053549,969.909301758,945.538757324,1.09843802452,2.99000000954
2456569.64007,2878.04600083,969.056884766,945.695617676,1.09878826141,2.94000005722
2456569.64079,2863.14048638,968.312255859,945.784729004,1.09913957119,3.05999994278
2456569.64152,2871.03616423,967.782897949,945.978759766,1.09951162338,2.83999991417
2456569.64228,2885.15430251,972.638366699,945.59967041,1.09992611408,2.88000011444
2456569.643,2873.43404264,972.31652832,945.611999512,1.10034227371,2.95000004768
2456569.64373,2883.51177703,972.192565918,945.920471191,1.10078239441,2.97000002861
2456569.64448,2891.84752136,972.071289062,946.043884277,1.10126125813,2.98000001907
2456569.6452,2870.05236904,971.92364502,946.188232422,1.101744771,2.90000009537
2456569.64591,2868.67910752,971.934814453,946.354125977,1.10224831104,2.93000006676
2456569.64663,2872.55209223,971.545898438,946.541259766,1.10277473927,2.90000009537
2456569.64735,2882.31971067,971.132873535,946.845825195,1.10332262516,2.90000009537
2456569.64807,2886.70120647,970.44708252,947.050048828,1.10389316082,2.86999988556
2456569.64879,2865.81927473,970.27130127,947.170837402,1.10448622704,2.93000006676
2456569.64951,2887.82996033,969.907287598,947.43359375,1.1051005125,2.73000001907
2456569.65023,2893.50175827,969.537109375,947.784667969,1.10573863983,2.8599998951
2456569.65099,2876.67978477,972.26751709,945.57220459,1.10643422604,2.81999993324
2456569.65171,2873.90414721,971.550109863,945.767456055,1.10711407661,2.8900001049
2456569.65243,2878.69307386,970.507324219,945.916564941,1.10782217979,2.92000007629
2456569.65315,2873.01757316,969.782592773,946.050842285,1.10855007172,2.76999998093
