# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.638452759999780028e+03 9.847686476676540401e-01 2.793770866811659884e-03 1.370000000000000107e+00 -4.190000000000000391e+00 2.390899999999999803e+00 2.390899999999999803e+00 2.390899999999999803e+00 4.422500000000000000e+02 1.003672392409999947e+00 3.000000000000000000e+01
8.638453340000009121e+03 9.906554341961200105e-01 2.811092212420354154e-03 -2.999999999999999889e-01 -1.030000000000000027e+00 2.448599999999999888e+00 2.448599999999999888e+00 2.448599999999999888e+00 4.396999999999999886e+02 1.003706051129999999e+00 3.000000000000000000e+01
8.638453910000160249e+03 9.836794681839760024e-01 2.786810783920902826e-03 2.300000000000000100e-01 -9.300000000000000488e-01 2.582500000000000018e+00 2.582500000000000018e+00 2.582500000000000018e+00 4.391800000000000068e+02 1.003751246109999995e+00 3.000000000000000000e+01
8.638454499999990730e+03 9.875095621309090133e-01 2.794820940772237833e-03 1.100000000000000006e-01 -5.799999999999999600e-01 2.436799999999999855e+00 2.436799999999999855e+00 2.436799999999999855e+00 4.360600000000000023e+02 1.003803752080000056e+00 3.000000000000000000e+01
8.638455060000069352e+03 9.897950388294659563e-01 2.797981135890395023e-03 3.099999999999999978e-01 -6.400000000000000133e-01 2.454600000000000115e+00 2.454600000000000115e+00 2.454600000000000115e+00 4.391700000000000159e+02 1.003865675079999908e+00 3.000000000000000000e+01
8.638455630000220481e+03 9.947224064078149519e-01 2.827554771012171994e-03 -5.000000000000000278e-02 -6.500000000000000222e-01 2.614900000000000002e+00 2.614900000000000002e+00 2.614900000000000002e+00 4.404900000000000091e+02 1.003933188690000033e+00 3.000000000000000000e+01
8.638456160000059754e+03 9.884477861279069577e-01 2.804863516214263931e-03 -1.239999999999999991e+00 -1.080000000000000071e+00 2.549999999999999822e+00 2.549999999999999822e+00 2.549999999999999822e+00 4.378500000000000227e+02 1.004013479799999997e+00 3.000000000000000000e+01
8.638456730000210882e+03 9.884035697591939673e-01 2.798545810899750064e-03 -7.600000000000000089e-01 -1.000000000000000000e+00 2.513399999999999856e+00 2.513399999999999856e+00 2.513399999999999856e+00 4.375400000000000205e+02 1.004103270379999913e+00 3.000000000000000000e+01
8.638457289999820205e+03 9.905476138579499823e-01 2.802789096068816939e-03 -7.800000000000000266e-01 -8.900000000000000133e-01 2.408799999999999830e+00 2.408799999999999830e+00 2.408799999999999830e+00 4.397099999999999795e+02 1.004207722150000093e+00 3.000000000000000000e+01
8.638457880000119985e+03 9.908108957111260162e-01 2.809759330449042043e-03 -8.199999999999999512e-01 -9.399999999999999467e-01 2.418499999999999872e+00 2.418499999999999872e+00 2.418499999999999872e+00 4.461800000000000068e+02 1.004321370790000056e+00 3.000000000000000000e+01
8.638458469999950466e+03 9.888769138581650076e-01 2.795557503853748817e-03 -6.400000000000000133e-01 -7.399999999999999911e-01 2.296899999999999942e+00 2.296899999999999942e+00 2.296899999999999942e+00 4.456800000000000068e+02 1.004440186849999916e+00 3.000000000000000000e+01
8.638459030000030907e+03 9.900264353530999761e-01 2.794570194390692038e-03 -8.100000000000000533e-01 -1.010000000000000009e+00 2.401199999999999779e+00 2.401199999999999779e+00 2.401199999999999779e+00 4.508799999999999955e+02 1.004567539369999984e+00 3.000000000000000000e+01
8.638459600000180217e+03 9.876208821381320391e-01 2.795077602732494969e-03 -3.800000000000000044e-01 -8.599999999999999867e-01 2.483299999999999841e+00 2.483299999999999841e+00 2.483299999999999841e+00 4.424300000000000068e+02 1.004704448140000039e+00 3.000000000000000000e+01
8.638460159999780444e+03 9.849509158545119991e-01 2.792748927180645040e-03 -5.999999999999999778e-01 -1.060000000000000053e+00 2.597500000000000142e+00 2.597500000000000142e+00 2.597500000000000142e+00 4.409499999999999886e+02 1.004853805310000014e+00 3.000000000000000000e+01
8.638460729999929754e+03 9.892636820515290363e-01 2.808974121713609783e-03 -1.000000000000000000e+00 -7.600000000000000089e-01 2.391399999999999970e+00 2.391399999999999970e+00 2.391399999999999970e+00 4.408700000000000045e+02 1.005019115140000086e+00 3.000000000000000000e+01
8.638461329999849113e+03 9.828739172934539692e-01 2.857543924068737910e-03 -9.499999999999999556e-01 -1.300000000000000044e+00 3.324699999999999989e+00 3.324699999999999989e+00 3.324699999999999989e+00 4.401899999999999977e+02 1.005190877330000010e+00 3.000000000000000000e+01
8.638461910000069111e+03 9.917460773631250337e-01 2.810800347866823038e-03 -7.299999999999999822e-01 -1.600000000000000033e-01 2.432599999999999874e+00 2.432599999999999874e+00 2.432599999999999874e+00 4.423799999999999955e+02 1.005366812729999948e+00 3.000000000000000000e+01
8.638462470000140456e+03 9.893679195441019703e-01 2.820652209270376951e-03 -1.350000000000000089e+00 -1.600000000000000033e-01 2.580600000000000005e+00 2.580600000000000005e+00 2.580600000000000005e+00 4.392900000000000205e+02 1.005553005489999929e+00 3.000000000000000000e+01
8.638463039999829562e+03 9.906454270388249661e-01 2.838671435342898959e-03 -1.209999999999999964e+00 -8.900000000000000133e-01 2.710399999999999920e+00 2.710399999999999920e+00 2.710399999999999920e+00 4.345400000000000205e+02 1.005761135630000025e+00 3.000000000000000000e+01
